"id","name","area","ingredients"
52837,"Pilchard puttanesca","Italian","Spaghetti, Olive Oil, Onion, Garlic, Red Chilli, Tomato Puree, Pilchards, Black Olives, Parmesan"
52839,"Chilli prawn linguine","Italian","Linguine Pasta, Sugar Snap Peas, Olive Oil, Garlic Clove, Red Chilli, King Prawns, Cherry Tomatoes, Basil Leaves, Lettuce, Bread, Fromage Frais, Lime, Caster Sugar"
52916,"Pear Tarte Tatin","French","Pears, Caster Sugar, Butter, Star Anise, Cardamom, Cinnamon, Brandy, Puff Pastry"
52849,"Spinach & Ricotta Cannelloni","Italian","Olive Oil, Garlic, Caster Sugar, Red Wine Vinegar, Chopped Tomatoes, Basil Leaves, Mascarpone, Milk, Parmesan, Mozzarella, Spinach, Parmesan, Ricotta, Nutmeg, Cannellini Beans"
53013,"Big Mac","American","Minced Beef, Olive Oil, Sesame Seed Burger Buns, Onion, Iceberg Lettuce, Cheese, Dill Pickles, Mayonnaise, White Wine Vinegar, Pepper, Mustard, Onion Salt, Garlic Powder, Paprika"
52902,"Parkin Cake","British","Butter, Egg, Milk, Golden Syrup, Black Treacle, Brown Sugar, Oatmeal, Self-raising Flour, Ground Ginger"
52934,"Chicken Basquaise","French","Chicken, Butter, Olive Oil, Red Onions, Red Pepper, Chorizo, Sun-Dried Tomatoes, Garlic, Basmati Rice, Tomato Puree, Paprika, Bay Leaves, Thyme, Chicken Stock, Dry White Wine, Lemons, Black Olives, Salt, Pepper"
52893,"Apple & Blackberry Crumble","British","Plain Flour, Caster Sugar, Butter, Braeburn Apples, Butter, Demerara Sugar, Blackberrys, Cinnamon, Ice Cream"
52921,"Provenal Omelette Cake","French","Eggs, Olive Oil, Courgettes, Spring Onions, Red Pepper, Garlic Clove, Red Chilli, Cream Cheese, Milk, Chives, Basil, Rocket, Parmesan"
52995,"BBQ Pork Sloppy Joes with Pickled Onion & Sweet Potato Wedges","American","Potatoes, Red Onions, Garlic, Lime, Bread, Pork, Barbeque Sauce, Hotsauce, Tomato Ketchup, Sugar, Vegetable Oil, Salt, Pepper"
52832,"Coq au vin","French","Olive Oil, Bacon, Shallots, Chicken Legs, Chicken Thighs, Chicken Breasts, Garlic, Brandy, Red Wine, Chicken Stock, tomato puree, thyme, Rosemary, bay leaves, parsley, chestnut mushroom, plain flour, butter"
52896,"Full English Breakfast","British","Sausages, Bacon, Mushrooms, Tomatoes, Black Pudding, Eggs, Bread, Baked Beans"
52814,"Thai Green Curry","Thai","potatoes, green beans, sunflower oil, garlic, Thai green curry paste, coconut milk, Thai fish sauce, Sugar, Chicken, lime, basil, Rice"
52867,"Vegetarian Chilli","British","Roasted Vegetables, Kidney Beans, Chopped Tomatoes, Mixed Grain"
52954,"Hot and Sour Soup","Chinese","Mushrooms, Wood Ear Mushrooms, Tofu, Pork, Chicken Stock, Salt, Sugar, Sesame Seed Oil, Pepper, Hotsauce, Vinegar, Soy Sauce, Cornstarch, Water, Spring Onions"
52959,"Baked salmon with fennel & tomatoes","British","Fennel, Parsley, Lemon, Cherry Tomatoes, Olive Oil, Salmon, Black Olives"
52768,"Apple Frangipan Tart","British","digestive biscuits, butter, Bramley apples, butter, softened, caster sugar, free-range eggs, beaten, ground almonds, almond extract, flaked almonds"
52922,"Prawn & Fennel Bisque","French","Tiger Prawns, Olive Oil, Onion, Fennel, Carrots, Dry White Wine, Brandy, Chopped Tomatoes, Fish Stock, Paprika, Double Cream, Prawns"
52975,"Tuna and Egg Briks","Tunisian","Olive Oil, Spring Onions, Spinach, Filo Pastry, Tuna, Eggs, Hotsauce, Tomatoes, Cucumber, Lemon Juice, Apricot Jam"
